Projects,Raw Requirements,Requiremnet Name,Type,Requirement with Standard Syntax(previous),, type,Requirement with Standard Syntax,Domain,sub_domain,
PR-270,The system will detect swipes from the player. This will be translated to the movement of tiles.,In-Game Methods,Ubiquitous,The system shall detect swipes from the player. This will be translated to the movement of tiles.,,ubiquitous,The system shall detect swipes from the player. This will be translated to the movement of tiles.,,,
PR-271,The user can be login,User login,Ubiquitous,The system shall allow user to login.,,ubiquitous,The system shall allow user to login.,,,
PR-271,The user can be sign up.,User login,Ubiquitous,The system shall allow user to sign up.,,ubiquitous,The system shall allow user to sign up.,,,
PR-272,The user will have to login in order to use the application.,Login,Ubiquitous,The system shall allow user to login in order to use the application.,,ubiquitous,The system shall allow user to login in order to use the application.,,,
PR-272,The user has to enter a user name and password to login.,Login,Ubiquitous,The system shall enable user to enter a user name and password to login.,,ubiquitous,The system shall enable user to enter a user name and password to login.,,,
PR-272,The user can view History of sitting arrangement or Teams of students in the class.,Seating Plan (Teams),Ubiquitous,The system shall allow user to view History of sitting arrangement or Teams of students in the class.,,ubiquitous,"while the user loggedin,The system shall allow user to view History of sitting arrangement or Teams of students in the class.",,,
PR-274,The system will set the default mode of exercises to ?ixed mode?,Select Mode of Exercise,Ubiquitous,The system shall set the default mode of exercises to ?ixed mode?,,ubiquitous,The system shall set the default mode of exercises to ?ixed mode?,,,
PR-274,The user will be able to perform exercises with perfect angles.,Fixed Mode,Ubiquitous,The system shall enable user to perform exercises with perfect angles.,,ubiquitous,The system shall enable user to perform exercises with perfect angles.,,,
PR-274,The system will allow user to generate report of joint positions at any given point of time.,Report Generate,Ubiquitous,The system shall allow user to generate report of joint positions at any given point of time.,,ubiquitous,The system shall allow user to generate report of joint positions at any given point of time.,,,
PR-274,A Pie chart is made to illustrate the amount of exercises done.,Storing Exercise records,Ubiquitous,The system shall made a Pie chart to illustrate the amount of exercises done.,,ubiquitous,The system shall made a Pie chart to illustrate the amount of exercises done.,,,
PR-274,A separate window for manual can be opened.,User manual,Ubiquitous,The system shall allow a separate window to be opened for manual.,,ubiquitous,The system shall allow a separate window to be opened for manual.,,,
PR-276,Admin will enter email address and password to login the system. Any other admin can login only when the logged in admin log out first.,Login,Ubiquitous,The system shall allow admin to enter email address and password to login the system. Any other admin can login only when the logged in admin log out first.,,ubiquitous,The system shall allow admin to enter email address and password to login the system. Any other admin can login only when the logged in admin log out first.,,,
PR-276,System will authorize the admin to monitor the login history of users.,Login History,Ubiquitous,The system shall allow the admin to monitor the login history of users.,,ubiquitous,The system shall allow the admin to monitor the login history of users.,,,
