index,Raw Requirements,Requirement with Standard Syntax, type,Domain,sub_domain,raw_length,standard_length,clean_raw_length,clean_standard_length,POS,Boilerplate Sentence
2516,system shall enable employee manager add attendance.,system shall enable employee manager add attendance.,0,Management system,Mobile app,65,65,52,52,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('employee', 'NN'), ('manager', 'NN'), ('add', 'VB'), ('attendance', 'NN'), ('.', '.')]",The system shall enable add  system employee manager attendance
2517,system allow employee manager apply leaf,system shall allow employee manager apply leaf,0,Management system,Mobile app,70,69,40,46,"[('system', 'NN'), ('allow', 'VB'), ('employee', 'NN'), ('manager', 'NN'), ('apply', 'VB'), ('leaf', 'NN')]",The system shall allow apply  system employee manager leaf
2518,system shall get detail employee his/her id already stored database,system shall get detail employee his/her id already stored database,0,Management system,Mobile app,105,105,67,67,"[('system', 'NN'), ('shall', 'MD'), ('get', 'VB'), ('detail', 'JJ'), ('employee', 'NN'), ('his/her', 'PRP$'), ('id', 'NN'), ('already', 'RB'), ('stored', 'VBD'), ('database', 'NN')]",The system shall get stored detail system employee id database
2519,"system shall allow employee write his/her application text area, add reason duration.","system shall allow employee write his/her application text area, add reason duration.",0,Management system,Mobile app,108,108,85,85,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('employee', 'NN'), ('write', 'IN'), ('his/her', 'JJR'), ('application', 'NN'), ('text', 'IN'), ('area', 'NN'), (',', ','), ('add', 'VB'), ('reason', 'NN'), ('duration', 'NN'), ('.', '.')]",The system shall allow add  system employee application area reason duration
2520,"system allow employee check incentive available, based salary.","system shall allow employee check incentive available, based salary.",0,Management system,Mobile app,108,107,62,68,"[('system', 'NN'), ('allow', 'VB'), ('employee', 'NN'), ('check', 'VB'), ('incentive', 'NN'), ('available', 'JJ'), (',', ','), ('based', 'VBN'), ('salary', 'NN'), ('.', '.')]",The system shall allow check based available system employee incentive salary
2521,system shall get detail employee his/her id already stored database,system shall get detail employee his/her id already stored database,0,Management system,Mobile app,105,105,67,67,"[('system', 'NN'), ('shall', 'MD'), ('get', 'VB'), ('detail', 'JJ'), ('employee', 'NN'), ('his/her', 'PRP$'), ('id', 'NN'), ('already', 'RB'), ('stored', 'VBD'), ('database', 'NN')]",The system shall get stored detail system employee id database
2522,system allow employee view his/her attendance,system shall allow employee view his/her attendance.,0,Management system,Mobile app,64,64,45,52,"[('system', 'NN'), ('allow', 'JJ'), ('employee', 'NN'), ('view', 'NN'), ('his/her', 'NN'), ('attendance', 'NN')]",The system shall  allow system employee view his/her attendance
2523,system allow employee/manager get phone number business city adding business type city.,system shall allow employee/manager get phone number business city adding business type city.,0,Management system,Mobile app,132,131,87,93,"[('system', 'NN'), ('allow', 'VB'), ('employee/manager', 'JJR'), ('get', 'VB'), ('phone', 'NN'), ('number', 'NN'), ('business', 'NN'), ('city', 'NN'), ('adding', 'VBG'), ('business', 'NN'), ('type', 'NN'), ('city', 'NN'), ('.', '.')]",The system shall allow get adding  system phone number business city type
2524,system allow admin view purchase order.,system shall allow admin view purchase order.,0,Management system,Mobile app,57,56,39,45,"[('system', 'NN'), ('allow', 'JJ'), ('admin', 'RB'), ('view', 'NN'), ('purchase', 'NN'), ('order', 'NN'), ('.', '.')]",The system shall  allow system view purchase order
2525,system allow admin view total purchases.,system shall allow admin view total purchases.,0,Management system,Mobile app,58,57,40,46,"[('system', 'NN'), ('allow', 'JJ'), ('admin', 'RB'), ('view', 'VBP'), ('total', 'JJ'), ('purchases', 'NNS'), ('.', '.')]",The system shall view allow total system
2526,system shall allow user create admin account first start up.,system shall allow user create admin account first start up.,0,Management system,Web development,77,77,60,60,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('create', 'NN'), ('admin', 'NN'), ('account', 'NN'), ('first', 'RB'), ('start', 'VB'), ('up', 'RP'), ('.', '.')]",The system shall allow start user system create admin account
2527,"system shall require user enter username, password confirm password account creation.","system shall require user enter username, password confirm password account creation.",0,Management system,Web development,116,116,85,85,"[('system', 'NN'), ('shall', 'MD'), ('require', 'VB'), ('user', 'JJ'), ('enter', 'NN'), ('username', 'NN'), (',', ','), ('password', 'NN'), ('confirm', 'NN'), ('password', 'NN'), ('account', 'NN'), ('creation', 'NN'), ('.', '.')]",The system shall require user system enter username password confirm account creation
2528,"system shall enable control, management maintenance admin account.","system shall enable control, management maintenance admin account.",0,Management system,Web development,90,90,66,66,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('control', 'NN'), (',', ','), ('management', 'NN'), ('maintenance', 'NN'), ('admin', 'NN'), ('account', 'NN'), ('.', '.')]",The system shall enable  system control management maintenance admin account
2529,system shall allow user register user account.,system shall allow user register user account.,0,Management system,Web development,64,64,46,46,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('register', 'NN'), ('user', 'NN'), ('account', 'NN'), ('.', '.')]",The system shall allow user system register user account
2530,system shall allow admin archive existing user account.,system shall allow admin archive existing user account.,0,Management system,Web development,70,70,55,55,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('admin', 'RB'), ('archive', 'JJ'), ('existing', 'VBG'), ('user', 'NN'), ('account', 'NN'), ('.', '.')]",The system shall allow existing archive system user account
2531,system shall allow archived user account login interact system.,system shall allow archived user account login interact system.,0,Management system,Web development,90,90,63,63,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('archived', 'VBN'), ('user', 'JJ'), ('account', 'NN'), ('login', 'NN'), ('interact', 'NN'), ('system', 'NN'), ('.', '.')]",The system shall allow archived user system account login interact
2532,system shall allow admin restore archived user accounts.,system shall allow admin restore archived user accounts.,0,Management system,Web development,67,67,56,56,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('admin', 'NN'), ('restore', 'NN'), ('archived', 'VBD'), ('user', 'JJ'), ('accounts', 'NNS'), ('.', '.')]",The system shall allow archived user system admin restore
2533,system shall make restored user account active allowing logins interaction system using restored account.,system shall make restored user account active allowing logins interaction system using restored account.,0,Management system,Web development,127,127,105,105,"[('system', 'NN'), ('shall', 'MD'), ('make', 'VB'), ('restored', 'JJ'), ('user', 'NN'), ('account', 'NN'), ('active', 'JJ'), ('allowing', 'VBG'), ('logins', 'NNS'), ('interaction', 'NN'), ('system', 'NN'), ('using', 'VBG'), ('restored', 'JJ'), ('account', 'NN'), ('.', '.')]",The system shall make allowing using restored active system user account interaction
2534,system shall allow administrator check permission granted user accounts.,system shall allow administrator check permission granted user accounts.,0,Management system,Web development,91,91,72,72,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('administrator', 'NN'), ('check', 'NN'), ('permission', 'NN'), ('granted', 'VBD'), ('user', 'JJ'), ('accounts', 'NNS'), ('.', '.')]",The system shall allow granted user system administrator check permission
2535,system shall make granted permission visible administrator user accounts.,system shall make granted permission visible administrator user accounts.,0,Management system,Web development,97,97,73,73,"[('system', 'NN'), ('shall', 'MD'), ('make', 'VB'), ('granted', 'JJ'), ('permission', 'NN'), ('visible', 'JJ'), ('administrator', 'NN'), ('user', 'NN'), ('accounts', 'NNS'), ('.', '.')]",The system shall make granted visible system permission administrator user
2536,system shall allow user view user account system archived one archived.,system shall allow user view user account system archived one archived.,0,Management system,Web development,124,124,71,71,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('view', 'NN'), ('user', 'NN'), ('account', 'NN'), ('system', 'NN'), ('archived', 'VBD'), ('one', 'CD'), ('archived', 'VBN'), ('.', '.')]",The system shall allow archived  system view user account
2537,system shall refer unarchived user account active accounts.,system shall refer unarchived user account active accounts.,0,Management system,Web development,74,74,59,59,"[('system', 'NN'), ('shall', 'MD'), ('refer', 'VB'), ('unarchived', 'JJ'), ('user', 'JJ'), ('account', 'NN'), ('active', 'JJ'), ('accounts', 'NNS'), ('.', '.')]",The system shall refer unarchived user active system account
2538,administrator shall able filter account listing active status.,system shall enable administrator filter account listing active status.,0,Management system,Web development,85,91,62,71,"[('administrator', 'NN'), ('shall', 'MD'), ('able', 'JJ'), ('filter', 'NN'), ('account', 'NN'), ('listing', 'VBG'), ('active', 'JJ'), ('status', 'NN'), ('.', '.')]",The system shall listing able active administrator filter account status
2539,system shall allow admin grant permission user.,system shall allow admin grant permission user.,0,Management system,Web development,65,65,47,47,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('admin', 'NN'), ('grant', 'JJ'), ('permission', 'NN'), ('user', 'NN'), ('.', '.')]",The system shall allow grant system admin permission user
2540,system shall provide interface enables administrator grant permission user accounts.,system shall provide interface enables administrator grant permission user accounts.,0,Management system,Web development,108,108,84,84,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('interface', 'NN'), ('enables', 'NNS'), ('administrator', 'VBP'), ('grant', 'JJ'), ('permission', 'NN'), ('user', 'NN'), ('accounts', 'NNS'), ('.', '.')]",The system shall provide administrator grant system interface permission user
2541,"system shall make following permission available type control: read, write, add, remove, update.","system shall make following permission available type control: read, write, add, remove, update.",0,Management system,Web development,117,117,96,96,"[('system', 'NN'), ('shall', 'MD'), ('make', 'VB'), ('following', 'VBG'), ('permission', 'NN'), ('available', 'JJ'), ('type', 'NN'), ('control', 'NN'), (':', ':'), ('read', 'NN'), (',', ','), ('write', 'VB'), (',', ','), ('add', 'VB'), (',', ','), ('remove', 'VB'), (',', ','), ('update', 'NN'), ('.', '.')]",The system shall make following write add remove available system permission type control read update
2542,system shall allow admin revoke permission granted users.,system shall allow admin revoke permission granted users.,0,Management system,Web development,76,76,57,57,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('admin', 'NN'), ('revoke', 'NN'), ('permission', 'NN'), ('granted', 'VBD'), ('users', 'NNS'), ('.', '.')]",The system shall allow granted  system admin revoke permission
2543,system shall provide interface enables administrator revoke permission user accounts.,system shall provide interface enables administrator revoke permission user accounts.,0,Management system,Web development,109,109,85,85,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('interface', 'NN'), ('enables', 'NNS'), ('administrator', 'VBP'), ('revoke', 'JJ'), ('permission', 'NN'), ('user', 'NN'), ('accounts', 'NNS'), ('.', '.')]",The system shall provide administrator revoke system interface permission user
2544,system shall provide interface using new document added.,system shall provide interface using new document added.,0,Management system,Web development,77,77,56,56,"[('system', 'NN'), ('shall', 'MD'), ('provide', 'VB'), ('interface', 'NN'), ('using', 'VBG'), ('new', 'JJ'), ('document', 'NN'), ('added', 'VBD'), ('.', '.')]",The system shall provide using added new system interface document
2545,system shall allow user adequate permission add new documents.,system shall allow user adequate permission add new documents.,0,Management system,Web development,79,79,62,62,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'JJ'), ('adequate', 'JJ'), ('permission', 'NN'), ('add', 'VB'), ('new', 'JJ'), ('documents', 'NNS'), ('.', '.')]",The system shall allow add user adequate new system permission
2546,system shall display detail document added confirm availability data.,system shall display detail document added confirm availability data.,0,Management system,Web development,93,93,69,69,"[('system', 'NN'), ('shall', 'MD'), ('display', 'VB'), ('detail', 'NN'), ('document', 'NN'), ('added', 'VBD'), ('confirm', 'JJ'), ('availability', 'NN'), ('data', 'NNS'), ('.', '.')]",The system shall display added confirm system detail document availability
